"errors" "real_errors" "errors_ratio"
9.19032021944385 6.76741761613592 2.79310344827585
11.6139621888193 9.53190734264442 4.57812500000002
2.34970536262209 0.00591492854026957 0.00252365930599369
8.97294659558894 7.01880207909738 3.59175179720015
2.28907734508432 0.0288352766338142 0.0127576054955839
10.9256123799454 8.94115385468499 4.50558867362153
10.9744105404027 9.00621806862796 4.57588279489097
11.0291236294002 9.07054291650339 4.63118157795383
6.20032384233758 3.95117226490007 1.75673898750821
8.19809095681363 6.24098897605193 3.18889308651303
11.8867882677392 7.60438000458407 1.77572513812156
11.5903024746582 9.61619507434326 4.87116104868921
10.3740452935653 8.19069729613829 3.75143921435827
8.98477645266948 6.59958151880578 2.76689398636083
12.3732911401764 10.1877250445468 4.66136671177268
8.18847919793569 6.24098897605193 3.2046317388003
4.02880570199111 1.91274001670967 0.903913347309572
2.87243717236841 0.288352766338142 0.111587982832618
5.88165706723056 3.72418688216723 1.72618231665524
2.27502938980118 0 0
7.50160812119689 4.82658168885997 1.80431177446102
3.95708719344034 1.74046772297432 0.785190126751167
9.99179303665038 7.66131119178416 3.28743654822334
10.7045419257529 8.63875313306371 4.1818181818181
0.719403183710287 0 0
9.87349446584498 7.96075444913531 4.16196366447623
5.45873967660128 3.1245610013974 1.33861260690529
8.32600128649696 6.38886218955867 3.29809160305342
9.59771092265492 7.29458562228745 3.16725521669341
10.192161240952 8.09014351095371 3.84875131902921
8.0768349217381 6.11973294097641 3.12693615413677
11.2760718959564 9.25464506731928 4.57827359180689
8.36518768807624 6.21880799402592 2.89734757147778
4.6779691092857 0.649902773362119 0.161343612334802
6.71048642893583 4.36595662878648 1.86218858404289
7.4010543360123 5.05208833945775 2.15077116776834
9.54595529792756 7.59255014750353 3.88682816048447
8.29051171525534 0.624764327065974 0.0815007716049383
2.91532040428537 0.36007127488891 0.140914351851851
4.94931645607056 2.31421579138047 0.878226711560046
3.0587574213869 0.50202955985538 0.196356275303644
9.98366000990751 7.73524779853753 3.44031568562971
11.7034254829909 9.73745110941878 4.95298984580664
10.9529689244442 8.78958381084059 4.06288448393709
11.6213558494946 9.65242401165241 4.90236575291036
3.50385579404219 1.1497142350149 0.488379396984925
10.2690553119755 8.16777694804475 3.88705137227308
8.57073145485061 6.64098601858766 3.44137931034483
6.5781399028473 4.42658464632424 2.0573883161512
11.4461260914892 9.50011460174047 4.88183890577497
11.0623951024392 7.96962684194572 2.57685871384172
10.5611049086513 8.51823646405572 4.16974303293526
10.8768142194882 8.41620394673607 3.42037259615386
7.94966395812231 5.57186268493394 2.34328358208955
8.65501918654945 6.68978417904489 3.40406320541762
8.29272981345794 5.60291605977035 2.08301264431006
8.96703166704867 7.0631640431494 3.70990291262136
8.54485364248693 6.00808866477882 2.36840571262023
10.1514961072377 0.739366067533697 0.0785545954438331
11.4535197521645 9.45427390555338 4.72892011834319
7.68718900414784 5.33674427545822 2.27052532242844
9.48828474465993 7.42545341624092 3.59964157706094
9.62654619928873 7.69014646841798 3.97136311569302
0.827350629570207 0 0
4.75338444817414 2.69794678043046 1.31258992805755
9.75223843076946 7.30345801509786 2.98248792270532
11.3507478687773 9.34706582576099 4.66494464944651
5.6347088006743 2.10275709606583 0.595352731840066
9.07276101470599 1.11644276197588 0.140321531456184
4.46872851217366 2.40959401409232 1.17019748653501
2.15303398865812 0 0
10.4383701414407 8.24762848333839 3.76476544043205
9.15557001426976 7.2517023903705 3.80893203883497
9.4394865842027 1.40183806404389 0.174408978014902
10.1648046964533 8.25797960828386 4.33074835207436
10.6113818012436 8.71786530228982 4.60406091370563
10.3163747402977 8.31417142941642 4.1525110782865
3.69239414126328 1.27392773436056 0.52675022928768
8.8228552838796 6.26169122594288 2.44486143187067
3.30422695580809 0.661732630442658 0.250419697817571
6.87684379413091 3.83213432802715 1.25862068965517
4.38370141440729 2.07318245336449 0.897280000000003
2.57964820962507 0.149351945641807 0.0614542135686037
10.7599943808179 8.78588698050292 4.45056179775279
9.97109078675943 7.7300722360648 3.44935664797097
5.06835439294349 3.02548594834789 1.48099891422367
10.3481674812016 8.43616683055948 4.41221964423825
4.49386695846981 2.40811528195725 1.15455512229706
5.02768925922914 2.37484380891823 0.895206243032326
7.76408307517135 5.74117751439915 2.83808479532163
10.2202571515183 1.09647987815247 0.120178282009724
9.20362880865946 6.78146557141907 2.7997557997558
11.3174763957383 9.3603744149766 4.78277295051
9.9659152242867 8.02286119880814 4.12899543378994
2.21292264012835 0.00591492854026957 0.00268006700167505
9.77811624313314 7.86241876215333 4.10420686993438
9.05723432728778 7.06168531101434 3.53871804371991
9.78550990380847 7.77443420011682 3.86580882352942
9.8320899660631 1.6938876607197 0.208140274370855
8.05465393971209 5.74857117507449 2.49278614940686
4.93748659899003 2.60182919165108 1.11396011396011
3.96448085411568 1.7574731425276 0.7963149078727
8.6187902492403 6.47684675159518 3.02381774249223
7.11861649821443 4.79774641222616 2.0672188595094
1.22808703817347 0 0
9.08976643425927 7.054291650339 3.46567381038866
7.33599012206934 0.419220560291606 0.0606092998396579
10.9411390673636 8.93967512254993 4.46656815663106
2.1633851136036 0.0495375265247577 0.0234347674011892
0.446577104790353 0 0
6.93673244560114 4.55819180634524 1.91638172210134
9.96000029574643 5.98368958455021 1.50483451097062
9.79807912695655 7.58811395109833 3.43358982937437
11.4032428595722 9.46906122690405 4.89564220183486
10.7038025596853 2.07540055156709 0.240531276778065
10.9810648350105 9.04466510413971 4.6708667430316
5.38923926625311 2.14342222978019 0.660364464692486
10.5670198371916 8.48570435708424 4.07708703374777
